temperature_C,concentration_M,residence_time_min,pH,equiv_oxidant,stirring_rpm,catalyst,solvent,yield_pct,impurity_pct
94.64,0.213,45.68,3.11,2.27,374,C,THF,100.0,29.64
99.58,0.509,49.86,2.4,1.48,569,C,THF,100.0,32.21
117.4,1.213,43.38,9.7,0.75,656,None,IPA,99.95,30.21
66.07,0.471,35.58,6.59,1.71,324,C,MeCN,100.0,17.43
69.64,1.391,20.03,5.03,1.85,221,B,THF,100.0,16.44
77.56,0.507,42.14,6.51,0.83,1194,C,IPA,100.0,15.33
55.16,0.288,57.46,2.03,2.07,1077,B,THF,89.96,33.16
50.39,0.493,35.66,8.49,0.18,1112,C,IPA,100.0,19.89
78.06,0.903,40.2,3.34,0.03,485,A,DMF,100.0,18.0
58.15,0.435,26.79,8.34,0.31,420,None,THF,91.19,19.83
93.59,0.356,45.61,6.04,0.39,626,None,IPA,100.0,23.98
74.97,1.735,59.86,3.85,2.2,653,A,THF,100.0,27.17
106.61,0.709,10.46,1.76,1.06,206,None,THF,98.52,26.18
96.02,0.785,12.94,8.43,0.69,979,A,THF,100.0,19.94
64.99,0.205,32.83,3.0,1.07,1197,None,THF,87.62,20.02
106.58,0.779,29.4,1.94,0.99,729,None,DMF,100.0,25.69
104.38,0.603,34.72,7.92,0.75,588,B,IPA,100.0,28.56
71.0,1.26,3.9,4.48,0.34,593,C,IPA,100.0,12.88
63.07,0.49,24.85,4.81,1.64,296,None,IPA,98.71,16.65
94.6,1.788,35.4,3.6,0.34,466,B,THF,100.0,21.03
51.18,1.866,35.53,8.8,1.94,702,B,DMF,88.64,26.68
55.99,0.29,39.78,4.03,0.5,632,B,THF,93.9,18.5
40.59,0.304,43.49,3.29,1.83,745,None,MeCN,86.58,26.19
102.95,0.319,38.85,4.13,2.01,1049,B,DMF,100.0,28.76
93.19,1.277,47.62,3.23,0.31,425,None,DMF,99.53,30.4
96.41,0.332,37.86,4.2,0.22,228,None,IPA,100.0,24.06
102.46,1.72,32.71,2.2,2.37,238,A,MeCN,100.0,35.05
76.71,1.533,36.77,2.85,1.16,334,C,IPA,100.0,23.82
85.5,1.658,6.97,5.04,1.58,770,None,DMF,99.54,17.08
51.18,1.1,17.12,8.98,0.06,1008,C,THF,100.0,20.51
49.16,1.994,32.12,1.99,0.7,1087,C,MeCN,98.61,20.18
93.47,0.184,52.51,3.31,1.26,835,C,MeCN,100.0,31.76
77.69,0.862,41.06,9.22,2.22,603,A,DMF,100.0,27.7
85.22,0.715,6.33,9.07,0.68,355,None,IPA,100.0,19.55
101.2,1.902,35.94,7.28,1.94,601,None,THF,95.04,29.02
90.78,1.196,14.08,3.54,1.66,532,C,IPA,100.0,23.63
84.29,1.632,44.31,5.07,0.29,1070,None,MeCN,100.0,15.62
84.74,0.424,49.82,3.3,0.73,687,B,IPA,100.0,26.96
64.32,1.959,36.01,2.59,0.59,426,A,THF,100.0,23.15
42.47,1.047,35.89,4.73,1.11,489,C,IPA,100.0,13.7
74.94,1.038,20.98,6.39,1.59,336,B,THF,100.0,14.31
57.17,1.945,27.33,4.56,1.08,1119,B,IPA,97.73,14.65
72.68,0.823,51.98,6.69,0.61,250,C,IPA,100.0,20.1
108.27,0.855,43.68,4.02,1.74,213,C,IPA,100.0,28.41
58.72,1.211,31.67,4.44,1.46,383,A,IPA,100.0,19.98
44.66,0.343,22.73,8.22,1.3,1011,B,IPA,100.0,22.39
62.51,0.71,3.97,8.97,1.39,723,B,THF,100.0,20.8
63.49,0.467,9.44,4.24,0.55,826,C,IPA,100.0,13.3
92.95,0.296,12.39,6.36,1.7,558,A,THF,100.0,18.41
84.56,1.746,23.03,3.86,0.97,269,A,IPA,100.0,16.32
102.71,1.22,56.7,1.95,0.91,1056,C,IPA,100.0,37.05
93.15,0.781,30.8,7.77,0.37,392,C,DMF,100.0,21.07
72.51,0.876,14.86,2.95,1.49,233,B,DMF,100.0,20.01
105.12,0.92,7.24,5.12,1.51,773,None,IPA,100.0,22.15
53.36,1.303,20.96,5.64,0.85,283,A,IPA,100.0,16.21
41.82,1.861,49.13,3.07,2.15,296,A,THF,91.53,29.75
47.2,1.872,23.62,2.3,2.11,1000,B,MeCN,96.49,23.57
97.79,0.844,46.58,4.46,0.27,692,B,IPA,100.0,24.26
76.95,0.726,48.36,9.59,1.74,442,C,THF,100.0,25.05
52.9,0.957,7.54,6.73,0.98,549,None,THF,98.59,14.31
80.08,1.179,36.91,4.74,2.5,929,A,MeCN,100.0,20.1
52.18,0.977,57.59,1.83,0.56,266,B,MeCN,100.0,23.44
95.71,1.352,24.73,6.6,0.7,316,C,IPA,100.0,19.6
75.69,1.153,4.01,2.28,1.11,816,None,MeCN,100.0,18.88
70.48,0.709,55.47,6.11,0.67,807,C,THF,100.0,16.06
64.12,0.757,53.14,7.89,1.73,1172,None,DMF,98.25,27.68
90.42,0.819,31.81,5.1,1.2,575,None,IPA,100.0,14.81
68.95,0.28,33.58,4.04,0.55,265,C,IPA,100.0,17.02
47.01,0.416,13.49,1.9,1.27,738,C,MeCN,100.0,19.56
49.44,1.474,49.35,1.71,2.22,838,C,MeCN,99.78,31.73
116.95,0.839,30.42,5.16,1.98,340,B,THF,100.0,28.65
112.69,0.508,3.0,9.01,1.25,753,B,IPA,100.0,27.58
95.98,1.169,41.3,3.57,0.72,398,B,THF,100.0,20.69
61.27,1.536,57.08,6.38,0.45,1045,B,THF,98.53,20.59
117.53,0.589,49.92,7.32,2.2,1035,B,DMF,100.0,32.0
102.3,1.671,17.35,2.02,1.78,630,A,MeCN,100.0,32.9
97.35,1.862,4.15,2.8,1.43,1167,C,THF,100.0,26.74
75.95,1.235,56.48,4.32,2.2,1180,A,DMF,100.0,26.59
61.78,1.371,56.29,7.2,0.3,329,B,IPA,100.0,21.97
47.71,0.2,32.41,5.23,1.71,568,B,MeCN,100.0,19.08
112.21,1.896,38.9,7.74,0.54,800,B,IPA,100.0,28.26
76.46,0.846,28.29,8.87,0.3,285,B,DMF,100.0,20.73
56.19,1.855,25.77,7.95,1.16,583,None,DMF,74.59,22.78
64.48,1.2,8.05,9.93,0.97,461,A,IPA,100.0,16.58
86.34,0.109,6.71,7.91,2.35,1152,A,MeCN,100.0,24.38
54.14,0.173,14.73,8.74,0.81,612,A,IPA,94.99,21.68
108.53,1.393,50.36,8.58,2.04,963,C,MeCN,100.0,36.22
100.68,1.169,9.6,7.71,1.87,587,C,THF,100.0,20.48
97.56,0.15,14.38,8.32,1.67,332,B,DMF,100.0,28.87
74.57,1.513,33.37,9.44,2.3,1063,A,MeCN,100.0,24.36
90.18,1.719,13.69,5.54,1.02,200,None,THF,100.0,17.34
86.73,1.043,10.63,6.93,0.97,256,C,DMF,100.0,14.39
91.99,0.985,34.24,5.88,0.4,564,C,THF,100.0,15.61
46.76,0.11,22.72,8.73,0.69,887,A,DMF,90.55,20.83
73.26,1.595,37.94,5.17,2.2,542,C,MeCN,100.0,20.59
43.33,0.728,54.82,8.47,1.19,266,C,THF,100.0,28.0
79.52,1.77,9.91,8.29,0.85,518,B,MeCN,100.0,17.55
66.39,0.809,54.89,9.68,0.54,445,None,DMF,99.31,26.97
51.56,1.174,54.25,3.62,1.21,205,None,IPA,86.92,26.07
48.27,0.614,49.92,7.53,1.79,735,C,MeCN,100.0,24.65
87.01,0.405,38.25,7.93,0.72,317,B,THF,100.0,21.4
53.65,1.572,37.59,9.46,1.89,487,None,THF,82.03,25.9
114.01,1.044,38.71,9.21,1.57,841,None,IPA,100.0,34.28
86.48,1.119,41.74,6.37,1.97,925,C,IPA,100.0,18.53
67.75,1.934,1.97,6.42,0.63,463,A,MeCN,100.0,12.06
87.27,1.931,57.53,2.92,1.58,529,A,DMF,100.0,27.85
41.82,1.726,35.55,9.79,0.38,447,B,MeCN,100.0,19.34
116.68,0.456,47.11,3.67,0.91,1157,A,DMF,100.0,34.41
78.58,1.229,23.26,7.66,1.81,391,C,THF,100.0,18.6
102.62,1.768,1.73,8.26,1.58,383,B,THF,100.0,30.0
46.62,0.811,31.07,5.25,0.47,645,A,THF,100.0,19.05
78.93,0.292,30.92,3.3,2.15,389,A,DMF,100.0,23.84
79.26,1.641,26.78,3.11,0.13,357,C,MeCN,100.0,15.87
115.03,1.015,21.04,8.78,1.49,296,B,DMF,100.0,29.78
85.74,1.172,15.74,5.84,2.46,840,C,MeCN,100.0,16.68
77.88,1.966,32.13,2.27,1.33,812,A,DMF,100.0,22.58
61.36,1.254,23.14,7.59,2.0,850,None,IPA,94.52,19.77
66.53,0.907,58.23,3.63,1.49,973,C,DMF,100.0,27.02
81.65,0.803,11.2,8.95,1.96,526,None,MeCN,100.0,23.75
75.11,0.893,19.86,4.13,1.64,1118,C,IPA,100.0,12.43
41.73,0.325,18.34,3.2,1.73,933,B,THF,93.74,19.4
106.1,1.61,33.06,2.22,0.57,1005,None,DMF,81.3,28.7
111.69,1.692,30.46,5.85,1.85,921,C,MeCN,100.0,27.75
51.22,0.64,38.98,5.33,0.59,558,None,MeCN,96.2,19.84
84.32,0.677,57.05,7.89,2.45,483,A,THF,100.0,33.12
48.69,1.761,17.83,5.45,0.57,623,A,MeCN,97.39,14.14
93.78,0.146,41.87,4.42,0.59,297,B,DMF,100.0,21.69
62.5,1.089,2.48,3.72,2.15,651,B,MeCN,100.0,20.01
92.75,0.981,16.48,3.86,0.61,243,B,DMF,100.0,16.11
98.16,1.411,28.36,9.39,0.9,204,A,THF,100.0,26.5
101.49,0.41,2.83,2.9,1.79,1131,B,DMF,100.0,28.48
48.62,1.37,37.44,9.9,0.4,889,None,MeCN,88.93,16.12
113.28,0.816,41.02,4.28,0.4,762,B,IPA,100.0,25.56
58.42,1.276,45.06,2.25,1.22,541,None,IPA,89.11,27.71
42.99,0.176,31.48,3.61,0.61,771,None,MeCN,89.4,19.35
84.39,0.977,36.63,2.0,0.59,1092,B,MeCN,100.0,19.44
69.67,1.092,24.37,8.22,0.02,852,None,IPA,100.0,14.25
106.38,0.507,3.43,5.86,0.93,802,C,THF,100.0,21.13
104.66,0.365,6.9,4.36,0.8,660,None,THF,91.59,18.35
65.37,0.458,39.64,7.13,0.08,546,None,MeCN,100.0,15.46
116.23,0.754,59.74,6.86,1.55,899,C,MeCN,100.0,33.08
63.27,0.284,1.93,9.49,1.57,1181,None,THF,82.32,22.33
81.2,1.9,33.9,9.67,0.18,625,C,IPA,100.0,21.01
60.48,0.869,45.31,7.29,0.79,592,A,DMF,100.0,18.48
114.88,1.637,49.78,8.45,2.18,628,C,IPA,100.0,37.58
53.17,1.951,33.17,8.24,1.46,626,C,IPA,100.0,23.66
43.59,0.253,37.58,5.68,1.03,1191,None,MeCN,90.42,19.19
74.81,1.338,42.11,7.49,1.16,907,A,IPA,100.0,22.07
119.39,1.756,51.68,2.17,0.52,559,B,THF,89.77,36.1
111.33,1.305,8.22,7.94,2.03,572,C,IPA,100.0,31.56
99.89,0.915,55.64,9.68,2.29,631,None,THF,100.0,34.65
111.26,0.919,2.54,2.22,2.28,237,None,MeCN,100.0,33.2
111.48,0.168,50.34,8.61,0.56,728,A,THF,96.67,33.01
81.51,1.116,5.53,9.43,0.78,1011,None,IPA,100.0,15.98
65.27,1.988,12.48,3.42,0.4,861,A,DMF,99.41,19.05
101.76,1.922,1.23,5.96,0.77,398,None,IPA,91.3,18.55
92.93,0.177,27.27,9.39,0.83,928,C,MeCN,100.0,23.64
69.89,1.441,20.73,9.66,1.58,919,C,THF,100.0,21.12
47.56,0.673,10.79,2.59,0.47,463,None,MeCN,94.75,21.11
99.74,1.816,27.61,4.47,2.3,823,B,DMF,100.0,25.51
61.0,0.186,24.74,7.43,0.26,811,B,IPA,100.0,16.54
114.95,1.878,46.29,3.38,0.02,1040,B,DMF,94.96,32.27
59.28,1.691,53.69,4.26,2.14,336,C,THF,96.88,25.92
49.82,0.323,39.5,1.7,1.76,395,B,IPA,90.41,24.59
106.49,0.214,8.34,2.8,0.89,686,B,THF,98.79,28.71
52.26,1.686,18.43,6.28,1.49,244,None,MeCN,84.82,18.72
54.34,0.396,54.89,7.05,0.56,616,None,MeCN,92.56,22.45
87.95,1.116,6.24,7.02,0.42,988,B,DMF,100.0,14.14
109.96,1.84,25.0,8.12,1.18,349,C,DMF,100.0,31.85
55.71,1.178,56.61,5.03,0.88,660,A,DMF,100.0,22.97
64.83,0.855,57.09,3.82,1.54,1190,B,IPA,100.0,23.62
102.19,0.946,25.26,1.63,0.55,706,None,IPA,100.0,20.2
117.75,0.22,40.38,3.26,1.66,698,A,IPA,100.0,34.02
80.06,1.941,27.95,4.16,1.92,759,C,THF,100.0,19.72
51.51,0.69,45.45,3.01,0.42,386,B,THF,98.12,26.16
41.11,0.46,2.86,1.67,0.11,347,None,DMF,83.26,16.79
58.37,0.643,9.51,2.84,1.1,877,C,DMF,100.0,23.15
50.55,1.932,37.24,7.16,1.94,596,C,IPA,100.0,24.38
94.21,0.279,14.72,6.85,1.63,490,A,THF,100.0,23.71
49.75,1.748,40.3,9.45,1.75,231,A,THF,85.85,30.73
80.51,1.445,21.72,8.28,1.01,1046,B,DMF,100.0,21.95
95.54,1.677,53.31,6.33,0.59,232,C,IPA,100.0,24.68
86.49,1.954,49.34,2.67,1.33,950,A,MeCN,100.0,26.57
55.98,1.7,30.08,6.29,0.51,582,None,IPA,88.63,18.18
104.33,1.892,46.6,2.02,1.82,799,None,THF,84.65,37.8
97.23,0.341,17.0,5.16,0.49,448,C,DMF,100.0,21.53
99.12,1.612,30.16,4.82,0.73,355,C,DMF,100.0,23.75
50.48,1.137,12.65,5.14,1.27,733,C,MeCN,100.0,19.14
49.9,1.133,51.79,3.88,1.22,896,None,THF,89.95,25.61
114.21,1.808,49.56,7.33,1.5,395,None,MeCN,93.38,33.95
71.81,1.946,54.23,8.65,1.09,636,A,IPA,100.0,25.32
64.08,1.439,52.77,8.03,2.3,645,None,DMF,87.66,30.27
79.09,1.018,57.62,6.84,2.1,416,A,DMF,100.0,24.1
93.03,0.967,14.47,6.08,2.2,765,B,MeCN,100.0,19.53
116.45,0.834,55.98,1.76,1.57,346,A,MeCN,100.0,36.07
62.92,0.787,34.7,7.64,1.59,710,None,THF,100.0,22.34
113.98,0.844,25.93,6.13,1.52,313,A,IPA,100.0,25.25
41.99,0.271,34.06,3.8,1.09,686,B,IPA,98.65,19.86
84.42,0.247,21.21,4.29,0.81,512,B,DMF,100.0,10.36
90.72,1.582,18.02,9.45,1.48,652,A,DMF,100.0,25.29
48.47,0.948,15.24,6.81,0.06,634,A,DMF,100.0,16.65
51.23,1.868,5.86,5.55,0.02,1108,B,DMF,88.4,18.41
73.53,1.263,30.3,6.78,2.13,690,None,DMF,100.0,20.19
117.3,0.167,53.38,5.02,0.12,1018,C,THF,100.0,31.85
87.68,0.399,38.18,5.5,1.31,426,C,DMF,100.0,20.43
114.64,0.491,31.74,3.97,1.54,552,None,THF,94.41,28.01
104.35,1.954,26.29,5.24,0.5,275,C,MeCN,100.0,22.36
77.39,0.516,28.4,7.33,2.24,621,None,DMF,100.0,19.68
102.78,1.08,13.35,1.84,0.48,869,A,DMF,100.0,23.22
41.43,1.879,49.55,8.26,2.21,1038,B,IPA,91.46,27.47
48.73,1.957,12.7,3.91,1.91,766,A,IPA,94.92,18.44
106.35,0.549,43.28,7.3,0.6,840,None,THF,100.0,28.51
103.75,0.193,45.84,6.96,0.38,377,None,THF,91.34,27.72
58.61,0.392,34.92,7.05,0.79,237,B,THF,100.0,18.16
82.46,0.22,51.91,6.67,0.99,992,None,IPA,100.0,20.63
88.48,0.471,18.17,9.65,0.61,367,A,DMF,100.0,21.16
109.42,1.18,53.02,5.82,2.5,291,A,DMF,100.0,35.14
88.25,1.834,44.04,7.72,0.57,1138,C,DMF,100.0,20.52
73.01,1.121,48.13,7.5,2.08,1164,C,THF,100.0,21.52
69.93,1.289,40.21,3.51,0.4,816,C,MeCN,100.0,19.93
74.07,0.484,50.93,3.91,2.45,579,B,DMF,100.0,22.74
92.15,1.621,59.59,5.1,0.56,1033,B,MeCN,100.0,24.09
109.4,1.274,25.79,3.86,1.05,405,A,MeCN,100.0,27.76
76.31,1.742,49.02,4.62,1.4,629,None,IPA,93.63,25.36
59.83,1.903,44.93,4.82,0.3,557,C,MeCN,100.0,21.12
58.93,0.761,27.72,6.63,2.04,1113,A,THF,100.0,20.95
99.68,0.272,55.69,3.37,0.69,1120,A,IPA,100.0,34.63
105.33,0.529,24.27,8.34,1.37,851,None,MeCN,100.0,24.18
48.42,0.932,34.36,5.22,1.37,311,A,MeCN,100.0,17.59
45.32,1.897,7.25,7.5,1.51,682,B,MeCN,95.24,20.17
87.55,0.819,14.32,2.19,0.14,445,A,THF,100.0,18.33
51.69,1.564,50.6,5.49,0.42,1085,B,DMF,88.84,24.21
105.97,1.127,24.4,1.74,0.4,338,None,IPA,100.0,24.79
64.83,0.447,24.25,7.25,0.76,254,None,MeCN,100.0,15.87
51.51,0.709,15.51,4.42,0.36,904,C,THF,100.0,13.5
113.68,1.341,30.01,9.57,2.3,653,A,DMF,100.0,32.4
53.24,1.378,48.54,4.26,1.28,1038,A,MeCN,100.0,23.09
62.78,0.926,53.81,6.29,1.56,275,A,DMF,100.0,25.37
52.29,0.534,5.14,3.69,0.89,1001,B,MeCN,98.5,15.35
49.24,1.472,34.91,6.77,0.69,237,B,IPA,94.65,19.41
41.69,0.421,28.57,5.47,1.26,228,A,THF,100.0,17.94
44.43,1.88,37.24,4.65,0.74,661,C,MeCN,100.0,18.71
53.97,0.457,27.39,3.23,0.86,421,C,IPA,100.0,18.13
44.27,0.304,24.52,2.45,1.13,794,None,MeCN,86.51,18.4
87.29,1.046,28.84,2.52,1.26,226,B,MeCN,100.0,22.07
94.46,1.087,35.34,9.99,2.46,235,C,DMF,100.0,32.3
71.49,1.066,30.56,5.0,0.56,927,A,MeCN,100.0,15.32
65.44,0.93,28.86,1.52,1.22,410,None,MeCN,100.0,17.35
80.36,1.99,49.25,9.6,0.37,856,None,MeCN,100.0,24.95
110.0,1.024,44.99,1.67,0.87,950,B,MeCN,100.0,31.25
108.09,1.008,21.14,5.06,1.79,259,C,THF,100.0,22.32
43.48,0.901,48.23,7.6,0.44,970,None,DMF,94.06,23.7
54.52,0.227,51.37,9.27,1.45,468,B,MeCN,95.94,30.37
58.94,1.227,10.06,7.56,1.04,590,A,THF,100.0,18.21
59.95,0.533,35.38,5.44,0.13,287,A,IPA,100.0,16.94
85.7,1.311,17.83,9.78,2.33,1039,B,MeCN,100.0,23.57
73.3,0.197,44.61,1.83,1.03,761,C,THF,100.0,22.15
43.94,1.965,15.09,9.89,1.96,705,None,MeCN,89.11,18.71
69.89,0.991,40.61,8.72,1.04,1169,None,THF,100.0,23.73
81.9,1.804,16.05,9.4,2.34,535,A,THF,100.0,20.18
48.13,1.004,31.16,3.67,0.73,1091,A,THF,100.0,16.93
106.68,0.215,56.97,2.71,1.03,920,B,MeCN,99.18,37.64
44.16,1.662,23.5,7.14,1.9,1129,B,IPA,99.62,19.84
113.99,1.332,52.67,5.88,0.86,1108,None,THF,100.0,31.53
47.93,1.585,59.23,5.95,0.91,1191,A,DMF,92.25,24.77
107.49,0.914,52.62,9.36,2.49,332,B,MeCN,100.0,40.0
112.21,1.312,10.79,6.77,1.39,996,A,IPA,100.0,23.94
118.37,1.727,49.36,4.14,1.72,1004,B,DMF,91.97,34.43
104.16,1.299,2.9,4.9,1.61,844,A,IPA,100.0,23.42
102.36,0.761,24.2,2.63,2.07,479,A,IPA,100.0,32.18
91.4,1.359,52.37,3.13,2.15,1165,None,DMF,100.0,31.35
102.32,1.377,41.64,2.72,1.41,404,None,DMF,93.44,37.2
50.76,1.925,32.43,8.39,0.74,700,None,THF,77.64,21.6
82.89,0.805,23.88,7.49,0.06,721,B,THF,100.0,16.55
81.14,0.908,48.93,6.01,1.54,362,None,THF,100.0,23.11
108.61,1.643,42.86,4.68,2.06,923,B,IPA,98.7,30.73
77.02,1.061,28.64,7.18,1.13,289,C,DMF,100.0,16.86
70.81,1.499,53.66,8.41,0.41,893,B,MeCN,100.0,24.73
91.17,0.973,14.57,8.99,0.72,1049,B,MeCN,100.0,20.73
61.32,0.509,11.05,6.15,1.27,549,None,THF,91.66,16.47
51.18,1.516,38.93,8.47,2.09,909,A,DMF,90.91,27.57
78.23,0.349,58.35,5.85,0.43,357,C,DMF,100.0,19.82
73.35,0.477,15.59,5.53,1.53,1046,A,THF,100.0,12.91
58.61,1.291,15.73,8.86,1.88,1152,C,IPA,100.0,25.5
69.4,1.52,9.23,4.78,2.34,353,B,IPA,100.0,15.19
69.31,1.8,51.77,4.87,0.29,892,A,IPA,100.0,19.8
66.2,0.618,14.36,4.09,2.32,706,None,IPA,100.0,19.25
70.36,0.31,30.69,5.91,1.5,731,None,IPA,93.33,18.96
94.86,1.916,59.46,6.13,1.92,906,A,MeCN,100.0,26.04
63.75,0.393,1.72,7.11,0.13,689,A,IPA,100.0,14.52
115.91,0.476,33.83,5.16,1.27,800,B,DMF,100.0,27.29
113.31,0.654,31.23,3.35,1.56,431,B,THF,100.0,29.65
78.47,1.106,48.64,8.87,0.77,579,A,MeCN,100.0,27.08
66.27,1.777,21.96,4.44,1.08,1065,B,IPA,99.97,13.97
82.83,1.545,25.21,9.35,1.39,310,C,IPA,100.0,18.24
107.88,1.445,10.91,3.26,1.38,798,B,IPA,100.0,29.23
92.21,0.433,44.71,6.26,0.1,384,C,THF,100.0,19.85
104.35,0.78,47.3,6.06,1.1,1047,A,DMF,100.0,25.25
82.62,1.009,9.06,8.54,0.53,779,C,THF,100.0,16.88
90.63,0.38,24.21,2.68,2.29,603,A,IPA,100.0,28.34
63.05,0.62,53.68,9.23,2.44,450,None,MeCN,100.0,28.5
98.79,0.686,1.16,6.02,0.75,637,None,MeCN,100.0,22.69
56.19,0.342,18.63,6.48,0.44,1158,None,DMF,86.71,14.42
95.58,1.145,33.75,5.84,0.55,709,C,THF,100.0,18.81
108.86,1.44,20.71,1.81,1.19,669,None,THF,93.8,26.05
50.57,0.233,17.05,5.73,2.19,946,C,THF,100.0,19.16
89.15,1.014,28.14,3.74,1.25,579,C,DMF,100.0,18.56
47.61,1.586,11.71,4.41,0.14,627,A,DMF,88.02,12.61
98.06,1.521,32.25,7.02,0.1,537,C,MeCN,100.0,25.39
46.76,1.649,42.7,5.73,0.57,351,C,IPA,100.0,18.01
114.88,0.952,34.94,2.29,2.11,914,C,MeCN,100.0,31.72
50.99,1.659,6.49,2.12,1.55,1073,A,IPA,91.93,25.63
116.71,0.557,50.82,3.08,1.41,1106,A,THF,100.0,39.41
104.07,0.786,11.32,3.12,0.8,1081,None,MeCN,100.0,26.46
87.49,0.435,46.12,6.67,2.32,652,C,MeCN,100.0,21.6
102.61,0.988,22.27,3.01,0.83,484,C,IPA,100.0,25.37
103.61,0.845,47.18,8.99,2.09,838,B,THF,100.0,32.55
115.68,0.558,13.17,3.28,2.24,1155,None,THF,92.87,31.35
60.27,1.528,12.01,2.27,1.21,927,C,MeCN,100.0,18.81
87.21,0.696,30.32,8.94,2.24,695,A,MeCN,100.0,23.3
47.6,0.618,2.94,4.01,0.69,889,B,DMF,93.81,15.07
89.29,0.349,14.29,5.12,1.65,973,B,THF,100.0,18.94
53.7,0.934,43.72,9.65,0.22,1119,None,DMF,90.19,23.84
85.2,0.676,50.41,9.53,1.18,963,None,DMF,100.0,29.87
85.79,0.802,5.77,7.58,0.54,633,None,DMF,100.0,16.78
77.28,0.548,53.04,2.09,0.16,474,C,THF,100.0,25.18
81.81,1.55,48.05,6.54,0.01,700,C,DMF,100.0,17.19
101.11,1.867,52.31,9.91,0.81,528,A,IPA,100.0,35.33
103.94,1.046,42.21,9.55,1.47,1143,A,DMF,100.0,31.99
79.37,1.322,40.78,2.4,1.14,708,A,IPA,100.0,27.68
87.97,1.748,31.98,4.87,0.75,672,A,IPA,100.0,20.56
114.5,1.998,39.51,4.18,2.48,548,B,THF,95.75,32.27
49.58,1.266,55.23,2.6,2.35,839,A,IPA,100.0,33.95
49.37,1.791,6.93,7.41,0.31,720,B,MeCN,98.76,10.24
47.02,1.826,19.63,3.83,1.04,329,A,DMF,86.73,18.18
92.63,1.604,5.27,4.43,1.62,1069,B,IPA,100.0,21.66
73.49,0.976,56.74,2.27,1.83,559,C,DMF,100.0,30.67
101.95,0.254,27.27,5.73,0.92,633,None,IPA,98.05,20.01
93.7,0.13,40.85,2.84,1.87,406,None,DMF,93.31,30.85
66.69,1.007,50.63,5.17,0.31,753,B,THF,100.0,14.26
111.87,1.039,59.47,2.72,0.83,902,None,DMF,91.9,36.34
101.0,0.874,10.55,9.61,1.79,1081,None,DMF,100.0,24.85
61.64,1.18,48.17,2.73,1.56,252,C,MeCN,100.0,30.68
69.14,1.149,53.36,5.94,2.09,1173,A,DMF,100.0,26.44
65.16,1.69,3.88,3.17,0.12,904,B,DMF,84.46,17.1
52.61,0.306,45.49,2.15,0.44,484,C,THF,91.57,26.95
51.82,0.528,21.93,3.22,0.12,404,None,DMF,75.83,18.98
114.89,1.607,39.27,1.97,0.48,496,A,DMF,98.7,32.09
75.03,1.711,31.33,2.68,0.01,1076,None,THF,86.43,17.77
70.67,1.99,16.32,5.69,1.26,491,A,IPA,100.0,17.01
98.37,1.759,8.98,7.04,1.32,663,None,DMF,98.44,20.29
84.24,1.791,7.9,2.24,1.64,906,C,MeCN,100.0,18.75
114.89,0.697,7.1,5.25,0.96,1072,A,THF,100.0,22.36
102.42,0.863,38.63,6.44,0.01,859,None,DMF,100.0,22.88
